run_accession,sample_accession,study_accession,sample_description,study_title,library_strategy,scientific_name,instrument_platform,instrument_model,collection_date_end,location,lat,lon,country,fastq_bytes,fastq_ftp
SRR17658263,SAMN25078544,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2325655907;2495316494,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/063/SRR17658263/SRR17658263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/063/SRR17658263/SRR17658263_2.fastq.gz
SRR17658266,SAMN25078506,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2343009517;2495060176,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/066/SRR17658266/SRR17658266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/066/SRR17658266/SRR17658266_2.fastq.gz
SRR17658273,SAMN25078535,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2479677207;2610880213,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/073/SRR17658273/SRR17658273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/073/SRR17658273/SRR17658273_2.fastq.gz
SRR17658275,SAMN25078533,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2597971913;2764007558,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/075/SRR17658275/SRR17658275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/075/SRR17658275/SRR17658275_2.fastq.gz
SRR17658276,SAMN25078532,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2597929422;2734589330,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/076/SRR17658276/SRR17658276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/076/SRR17658276/SRR17658276_2.fastq.gz
SRR17658283,SAMN25078526,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,4225354867;4453580676,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/083/SRR17658283/SRR17658283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/083/SRR17658283/SRR17658283_2.fastq.gz
SRR17658284,SAMN25078525,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2623839041;2748614279,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/084/SRR17658284/SRR17658284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/084/SRR17658284/SRR17658284_2.fastq.gz
SRR17658285,SAMN25078524,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,4721710055;5052971794,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/085/SRR17658285/SRR17658285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/085/SRR17658285/SRR17658285_2.fastq.gz
SRR17658289,SAMN25078521,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2299485570;2450711306,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/089/SRR17658289/SRR17658289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/089/SRR17658289/SRR17658289_2.fastq.gz
SRR17658293,SAMN25078517,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2940602133;3136186306,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/093/SRR17658293/SRR17658293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/093/SRR17658293/SRR17658293_2.fastq.gz
SRR17658295,SAMN25078515,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,3225711016;3448159455,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/095/SRR17658295/SRR17658295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/095/SRR17658295/SRR17658295_2.fastq.gz
SRR17658296,SAMN25078514,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2797978016;2993001208,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/096/SRR17658296/SRR17658296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/096/SRR17658296/SRR17658296_2.fastq.gz
SRR4297033,SAMN05806435,PRJNA344556,Enrichment from Brazil mangrove soil,Enrichment from mangrove soil Raw sequence reads,WGS,aquatic metagenome,ILLUMINA,Illumina HiSeq 2500,2011-10-11,13.367918 S 39.056139 W,-13.367918,-39.056139,Brazil:Bahia,42541189333;38779694509,ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/003/SRR4297033/SRR4297033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/003/SRR4297033/SRR4297033_2.fastq.gz
SRR6056507,SAMN07673493,PRJNA408027,Metagenome from Yunxiao mangrove sediment,mangrove sediment sample Metagenome,WGS,mangrove metagenome,ILLUMINA,Illumina HiSeq 2500,2015-07-14,23.55 N 117.24 E,23.55,117.24,China: Yunxiao,141230600,ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/007/SRR6056507/SRR6056507.fastq.gz
SRR9478717,SAMN12111214,PRJNA550188,A microalgae isolated from mangrove area,Chlorella vulgaris strain:UMT-M1 Genome sequencing and assembly,WGS,Chlorella vulgaris,ILLUMINA,Illumina NovaSeq 6000,,,,,Malaysia: Terengganu,2553045001;2619032724,ftp.sra.ebi.ac.uk/vol1/fastq/SRR947/007/SRR9478717/SRR9478717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR947/007/SRR9478717/SRR9478717_2.fastq.gz
SRR14778739,SAMN17799293,PRJNA699587,Metagenome from mangrove soil harvested by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.677 S 38.733 W,-12.677,-38.733,Brazil:Baia de Todos os Santos,1168956174;1162085106,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/039/SRR14778739/SRR14778739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/039/SRR14778739/SRR14778739_2.fastq.gz
SRR14778841,SAMN17799318,PRJNA699587,Metagenome from mangrove soil harvested by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.677 S 38.733 W,-12.677,-38.733,Brazil:Baia de Todos os Santos,1584812523;1576009164,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14778841/SRR14778841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14778841/SRR14778841_2.fastq.gz
SRR2912968,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,PACBIO_SMRT,PacBio RS II,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,1361440500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2912968/SRR2912968_subreads.fastq.gz
SRR2913006,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,ILLUMINA,Illumina HiSeq 2500,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,448045739;467613744,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2913006/SRR2913006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2913006/SRR2913006_2.fastq.gz
SRR2913010,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,ILLUMINA,Illumina HiSeq 2500,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,431842687;453312195,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2913010/SRR2913010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2913010/SRR2913010_2.fastq.gz
SRR9587833,SAMN12111213,PRJNA550185,Marine photosynthetic microalgae species isolated from mangrove area.,Messastrum gracile genomics study,WGS,Messastrum gracile,ILLUMINA,Illumina NovaSeq 6000,,,,,Malaysia: Terengganu,2540578100;2564682555,ftp.sra.ebi.ac.uk/vol1/fastq/SRR958/003/SRR9587833/SRR9587833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR958/003/SRR9587833/SRR9587833_2.fastq.gz
SRR18713668,SAMN17675990,PRJNA697604,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 3 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,225934207;226958275,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/068/SRR18713668/SRR18713668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/068/SRR18713668/SRR18713668_2.fastq.gz
SRR18713684,SAMN17674967,PRJNA697605,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 4 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,102479526;135444783,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/084/SRR18713684/SRR18713684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/084/SRR18713684/SRR18713684_2.fastq.gz
SRR18714148,SAMN17675489,PRJNA697613,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 12 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,173013974;173176376,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/048/SRR18714148/SRR18714148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/048/SRR18714148/SRR18714148_2.fastq.gz
SRR18714150,SAMN17675298,PRJNA697617,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 16 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,117820478;118468196,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/050/SRR18714150/SRR18714150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/050/SRR18714150/SRR18714150_2.fastq.gz
SRR18714295,SAMN17674341,PRJNA697612,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 11 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,218141738;226751712,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/095/SRR18714295/SRR18714295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/095/SRR18714295/SRR18714295_2.fastq.gz
SRR18714297,SAMN17675971,PRJNA697619,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 18 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,144482553;144616552,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/097/SRR18714297/SRR18714297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/097/SRR18714297/SRR18714297_2.fastq.gz
SRR18714343,SAMN17675858,PRJNA697615,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 14 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,194766133;202266044,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/043/SRR18714343/SRR18714343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/043/SRR18714343/SRR18714343_2.fastq.gz
SRR18715514,SAMN17675293,PRJNA697623,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 22 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,127183015;162490374,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/014/SRR18715514/SRR18715514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/014/SRR18715514/SRR18715514_2.fastq.gz
SRR18715703,SAMN17675970,PRJNA697627,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 27 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,138536221;143903303,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/003/SRR18715703/SRR18715703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/003/SRR18715703/SRR18715703_2.fastq.gz
SRR18715959,SAMN17674624,PRJNA697632,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 32 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,122509995;122575933,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/059/SRR18715959/SRR18715959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/059/SRR18715959/SRR18715959_2.fastq.gz
SRR18716574,SAMN17674471,PRJNA697639,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 39 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,95024826;96941406,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/074/SRR18716574/SRR18716574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/074/SRR18716574/SRR18716574_2.fastq.gz
SRR18718024,SAMN17675461,PRJNA697721,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 52 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,309806225;313005141,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/024/SRR18718024/SRR18718024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/024/SRR18718024/SRR18718024_2.fastq.gz
SRR18718174,SAMN17674817,PRJNA697758,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 57 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,200424516;199902191,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/074/SRR18718174/SRR18718174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/074/SRR18718174/SRR18718174_2.fastq.gz
SRR18718175,SAMN17674799,PRJNA697756,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 55 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,262730935;270770366,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/075/SRR18718175/SRR18718175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/075/SRR18718175/SRR18718175_2.fastq.gz
SRR18720396,SAMN17674484,PRJNA697763,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 62 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,1149322321;1164963071,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/096/SRR18720396/SRR18720396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/096/SRR18720396/SRR18720396_2.fastq.gz
SRR18723969,SAMN17674663,PRJNA697529,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 73 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,398093382;400104462,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/069/SRR18723969/SRR18723969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/069/SRR18723969/SRR18723969_2.fastq.gz
SRR18724479,SAMN17674959,PRJNA697531,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 75 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,732839242;749526772,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/079/SRR18724479/SRR18724479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/079/SRR18724479/SRR18724479_2.fastq.gz
SRR18725094,SAMN17674333,PRJNA697534,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 78 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,190058857;194573440,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18725094/SRR18725094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18725094/SRR18725094_2.fastq.gz
SRR18715586,SAMN17674536,PRJNA697621,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 20 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,127336778;126780550,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/086/SRR18715586/SRR18715586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/086/SRR18715586/SRR18715586_2.fastq.gz
SRR18716456,SAMN17674342,PRJNA697637,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 37 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,201750294;201380738,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/056/SRR18716456/SRR18716456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/056/SRR18716456/SRR18716456_2.fastq.gz
SRR18717070,SAMN17675989,PRJNA697641,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 41 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,186813253;189132424,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/070/SRR18717070/SRR18717070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/070/SRR18717070/SRR18717070_2.fastq.gz
SRR18717200,SAMN17675948,PRJNA697714,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 45 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,108088619;105096626,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/000/SRR18717200/SRR18717200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/000/SRR18717200/SRR18717200_2.fastq.gz
SRR18718020,SAMN17674370,PRJNA697407,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 54 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,120308634;122307912,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/020/SRR18718020/SRR18718020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/020/SRR18718020/SRR18718020_2.fastq.gz
SRR18718022,SAMN17675494,PRJNA697720,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 51 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,352219467;349744678,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/022/SRR18718022/SRR18718022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/022/SRR18718022/SRR18718022_2.fastq.gz
SRR14654599,SAMN17792015,PRJNA699587,Metagenome or environmental sample from mangrove metagenome impacted by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.679 S 38.729 W,-12.679,-38.729,Brazil:Baia de Todos os Santos,1010924750;1010430916,ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/099/SRR14654599/SRR14654599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/099/SRR14654599/SRR14654599_2.fastq.gz
SRR14639381,SAMN17794334,PRJNA699587,Metagenome or environmental sample from mangrove metagenome impacted by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.679 S 38.729 W,-12.679,-38.729,Brazil:Baia de Todos os Santos,832082865;831717519,ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/081/SRR14639381/SRR14639381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/081/SRR14639381/SRR14639381_2.fastq.gz
SRR14574355,SAMN17794837,PRJNA699587,Metagenome or environmental sample from mangrove soil recolonization after shrimp farm metagenome,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.681 S 38.731 W,-12.681,-38.731,Brazil:Baia de Todos os Santos,995599716;995230350,ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/055/SRR14574355/SRR14574355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/055/SRR14574355/SRR14574355_2.fastq.gz
